measured_on,inv_string09_ac_output_(kwh)_inv_150212,inv_string09_ac_output_(power_factor)_inv_150213,inv_string09_ac_voltage_(v)_inv_150211,inv_string09_dc_voltage_(v)_inv_150210,inv_string09_temperature_(c)_inv_150214
2019-06-22 07:36:50,10.766,0.99693166,120.781,398.938,44.4875
2019-06-22 07:41:50,11.039,0.997547016,120.328,398.875,44.7287
2019-06-22 07:46:50,10.407,0.995673493,120.375,399.0,43.9703
2019-06-22 07:51:50,13.475,0.995099131,120.938,398.812,44.6384
2019-06-22 07:56:50,14.621,0.997941116,120.781,399.312,42.6695
2019-06-22 08:01:50,15.22,0.997235387,120.75,398.812,43.4466
2019-06-22 08:06:50,16.974,0.999110795,120.641,399.438,44.1536
2019-06-22 08:11:50,17.19,0.999474238,120.25,399.25,44.9933
2019-06-22 08:16:50,18.084,0.999167222,120.75,399.0,45.6384
2019-06-22 08:21:51,18.615,0.996119017,120.391,399.312,46.2766
2019-06-22 08:26:50,19.546,0.995694295,120.875,399.438,47.1896
2019-06-22 08:31:50,20.585,0.998248175,120.906,399.125,48.114
2019-06-22 08:36:50,20.438,0.998968008,120.875,399.062,48.9488
2019-06-22 08:41:50,22.373,0.997310744,120.984,399.312,49.7747
2019-06-22 08:46:50,22.972,0.998950407,121.516,399.125,50.7068
2019-06-22 08:51:50,22.77,0.998942079,120.812,399.188,51.7068
2019-06-22 08:56:51,23.037,0.997905211,120.484,398.938,52.351
2019-06-22 09:01:50,24.431,0.998889848,120.594,398.562,53.1367
2019-06-22 09:06:51,24.995,0.997832631,121.359,398.75,54.1671
2019-06-22 09:11:51,27.049,0.998221629,121.25,398.688,55.0421
2019-06-22 09:16:50,25.932,0.998144067,120.938,399.125,55.1712
2019-06-22 09:21:50,27.735,0.998482549,121.234,399.062,54.9692
2019-06-22 09:26:50,28.305,0.998619958,121.578,399.0,54.9273
2019-06-22 09:31:50,28.547,0.997475279,121.156,398.75,54.8194
2019-06-22 09:36:50,27.936,0.999028812,121.422,399.188,54.6751
2019-06-22 09:41:51,29.201,0.997421085,121.641,399.0,54.5907
2019-06-22 09:46:51,30.89,0.998342757,121.859,399.188,55.3716
2019-06-22 09:51:51,31.934,0.998023529,121.688,398.938,55.2786
2019-06-22 09:56:51,33.391,0.996585497,122.219,399.312,55.813
2019-06-22 10:01:50,33.901,0.997786239,121.688,399.375,56.5608
2019-06-22 10:06:50,34.61,0.997825331,121.812,399.438,56.8548
2019-06-22 10:11:50,34.96,0.998104265,122.078,399.188,57.4386
2019-06-22 10:16:50,34.681,0.997142857,122.062,398.812,57.8524
2019-06-22 10:21:51,35.389,0.99762732,121.844,398.875,58.2635
2019-06-22 10:26:51,36.64,0.997868678,121.625,397.75,58.6719
2019-06-22 10:31:49,37.357,0.997352162,121.531,399.188,59.1182
2019-06-22 10:36:50,37.845,0.998019645,121.375,399.0,59.6416
2019-06-22 10:41:50,38.013,0.998575611,121.578,398.688,59.9615
2019-06-22 10:46:50,37.858,0.999523545,121.266,398.75,60.2317
2019-06-22 10:51:50,38.694,0.99837348,121.281,398.875,60.3741
2019-06-22 10:56:50,38.949,0.997692308,121.453,398.938,60.7053
2019-06-22 11:01:50,39.068,0.997692485,121.469,398.625,61.2697
2019-06-22 11:06:50,38.687,0.99783265,121.609,399.312,61.6436
2019-06-22 11:11:50,38.839,0.999380565,121.094,398.812,62.0157
2019-06-22 11:16:50,38.532,0.996572141,121.547,398.875,62.1084
2019-06-22 11:21:50,38.864,0.999690043,120.797,399.188,62.3243
2019-06-22 11:26:50,39.332,0.99786975,121.531,398.75,62.6622
2019-06-22 11:31:50,40.076,0.997459274,120.953,398.75,63.3488
2019-06-22 11:36:50,40.04,0.998498498,121.062,399.875,63.6669
2019-06-22 11:41:50,40.228,0.997682416,121.688,399.438,63.9837
2019-06-22 11:46:50,40.113,0.997081494,121.5,399.062,64.0589
2019-06-22 11:51:50,40.681,0.998085561,121.641,398.812,64.419
2019-06-22 11:56:50,40.776,0.998308202,121.797,398.5,64.6431
2019-06-22 12:01:50,41.068,0.998461764,121.312,398.938,64.859
2019-06-22 12:06:50,41.031,0.99766099,121.578,398.5,65.0444
2019-06-22 12:11:50,41.082,0.996635705,122.281,399.125,65.0974
2019-06-22 12:16:50,41.056,0.996342088,121.484,398.938,65.0974
2019-06-22 12:21:50,40.977,0.999412197,121.484,398.562,65.2562
2019-06-22 12:26:51,40.952,0.998017767,120.906,398.938,65.4147
2019-06-22 12:31:51,40.895,0.99875101,121.672,399.0,65.3619
2019-06-22 12:36:50,40.405,0.997616565,121.609,399.438,65.5203
2019-06-22 12:41:50,40.248,0.996796782,121.344,399.75,65.7309
2019-06-22 12:46:50,40.137,0.993671828,121.547,399.25,66.0459
2019-06-22 12:51:49,40.089,0.999401108,121.016,399.25,66.1507
2019-06-22 12:56:50,40.56,0.99711709,121.656,398.875,66.412
2019-06-22 13:01:50,39.861,0.998646617,121.453,399.438,66.8284
2019-06-22 13:06:50,39.834,0.999247158,120.969,398.875,67.2428
2019-06-22 13:11:51,39.989,0.998575071,121.188,398.562,67.758
2019-06-22 13:16:51,40.319,0.997245384,121.828,399.25,68.1168
2019-06-22 13:21:51,40.061,0.997374737,121.844,398.938,67.8094
2019-06-22 13:26:50,40.216,0.996943036,121.703,399.0,67.5008
2019-06-22 13:31:50,40.007,0.998949501,122.062,399.25,67.3977
2019-06-22 13:36:50,39.985,0.996553533,121.141,398.875,67.3977
2019-06-22 13:41:49,39.16,0.999079755,120.938,398.75,67.6552
2019-06-22 13:46:49,39.505,0.996962333,121.547,399.312,66.8803
2019-06-22 13:51:50,39.373,0.997867804,121.547,398.812,67.0013
2019-06-22 13:56:50,38.93,0.997763554,121.406,399.312,66.7765
2019-06-22 14:01:50,38.993,0.996073298,121.5,399.188,66.6378
2019-06-22 14:06:50,37.853,0.99928509,120.797,398.688,66.203
2019-06-22 14:11:50,38.01,0.99833887,120.797,399.75,65.652
2019-06-22 14:16:50,38.094,0.999290557,121.281,398.812,65.2033
2019-06-22 14:21:49,37.926,0.99801666,121.438,399.0,65.0444
2019-06-22 14:26:50,37.502,0.997591522,120.672,399.375,64.7772
2019-06-22 14:31:50,37.246,0.999353901,120.766,399.562,64.6878
2019-06-22 14:36:50,36.778,0.999427684,122.0,399.062,64.3741
2019-06-22 14:41:50,36.654,0.999508398,121.734,399.375,64.2392
2019-06-22 14:46:50,36.595,0.998767157,121.438,399.438,63.5156
2019-06-22 14:51:50,35.716,0.996629308,121.109,399.5,62.7388
2019-06-22 14:56:50,35.748,0.997985225,121.203,399.188,62.5549
2019-06-22 15:01:49,34.79,0.998186372,121.359,398.938,60.4215
2019-06-22 15:06:50,32.622,0.999079783,121.719,399.125,60.2317
2019-06-22 15:11:50,32.488,0.997971415,121.484,399.125,60.4215
2019-06-22 15:16:49,32.511,0.998240741,120.859,398.812,60.3741
2019-06-22 15:21:50,31.799,0.998579142,120.984,398.938,60.3266
2019-06-22 15:26:50,30.539,0.998620418,121.062,398.562,59.9615
2019-06-22 15:31:50,29.342,0.996417238,120.922,398.688,59.2797
2019-06-22 15:36:50,28.777,0.997706661,121.0,398.438,58.9157
2019-06-22 15:41:50,23.376,0.997686673,120.891,399.0,56.0962
2019-06-22 15:46:50,11.19,0.997854653,119.781,398.875,56.4766
2019-06-22 15:51:50,17.085,0.997349823,120.359,399.188,55.3287
2019-06-22 15:56:50,10.126,0.997619756,119.422,399.125,54.161
2019-06-22 16:01:50,13.017,0.996531792,119.75,399.312,52.5391
2019-06-22 16:06:51,15.03,0.997207818,119.703,398.75,53.2851
2019-06-22 16:11:51,8.118,0.994091581,119.828,398.75,52.3887
2019-06-22 16:16:50,13.797,0.995647443,120.344,399.062,51.401
2019-06-22 16:21:50,6.037,0.993548387,119.438,398.938,52.0109
2019-06-22 16:26:50,7.264,0.989711934,119.828,399.125,51.209
2019-06-22 16:31:50,18.802,0.999037845,120.25,398.812,50.668
2019-06-22 16:36:50,18.614,0.997736825,120.688,398.688,51.5541
2019-06-22 16:41:50,5.009,0.98989899,119.734,399.0,52.1119
2019-06-22 16:46:50,18.355,0.99934555,120.625,399.25,52.4577
2019-06-22 16:51:51,16.829,0.998750446,120.531,399.25,53.2789
2019-06-22 16:56:51,15.925,0.997165533,120.828,399.0,53.893
2019-06-22 17:01:50,15.657,0.998844598,121.422,399.188,54.1853
2019-06-22 17:06:50,15.272,0.997238659,121.969,399.312,54.343
2019-06-22 17:11:50,14.133,0.998511588,121.703,399.312,54.4761
2019-06-22 17:16:50,11.462,0.998426436,121.344,399.125,54.4459
2019-06-22 17:21:50,12.168,0.997541185,121.766,398.812,54.343
2019-06-22 17:26:51,11.283,0.998667022,121.766,399.375,54.015
2019-06-22 17:31:50,5.749,0.997376705,121.562,399.0,53.4269
2019-06-22 17:36:50,7.224,0.997089397,121.344,398.875,52.7515
2019-06-22 17:41:51,5.551,0.995114007,121.594,398.938,52.156
2019-06-22 17:46:50,4.536,0.994698476,121.594,399.125,51.3946
2019-06-22 17:51:50,3.781,0.988207547,121.281,399.0,50.6616
2019-06-22 17:56:50,4.835,0.993757803,121.844,399.125,50.1153
2019-06-22 18:01:50,5.514,0.991803279,122.141,399.312,49.7037
2019-06-22 18:06:51,3.984,0.992498125,121.812,399.25,49.4735
2019-06-22 18:11:51,3.686,0.989490703,122.062,399.25,49.1815
2019-06-22 18:16:51,3.759,0.992788462,121.828,399.188,48.8153
2019-06-22 18:21:51,2.302,0.979274611,122.25,399.125,48.407
2019-06-22 18:26:50,2.055,0.973087819,121.859,399.25,47.8988
2019-06-22 18:31:50,1.672,0.961538462,122.094,399.125,47.494
2019-06-22 18:36:50,1.415,0.955911824,122.234,399.25,47.3219
2019-06-22 18:41:50,1.16,0.93062201,121.984,399.312,46.9412
2019-06-22 18:46:51,0.949,0.913690476,122.203,399.062,46.6275
2019-06-22 18:51:51,0.637,0.819607843,122.094,399.062,46.3118
